algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
NUTS,10,3.750828266143799,8669.386996479692,2311.326027569007,1.0007698811503718,0.0,,18,eight_schools,noncentred,,1.0
HMC,10,2.975682020187378,150.26188740756643,50.49662107314292,1.0897898377282988,0.0,,42,eight_schools,noncentred,,1.0
NUTS,10,4.949176549911499,9277.756449882701,1874.606079681802,1.0005218011529418,3.0,,42,eight_schools,noncentred,,1.0
HMC,10,2.674285411834717,147.5018386632367,55.155608302122765,1.0578002659408985,1.0,,123,eight_schools,noncentred,,1.0
NUTS,10,3.4887471199035645,9214.50446526825,2641.2073299032795,1.0003161032640224,1.0,,123,eight_schools,noncentred,,1.0
HMC,10,2.578474760055542,1358.0090772590988,526.6714641914301,1.0016788857441168,0.0,,18,eight_schools,noncentred,,10.0
NUTS,10,3.394493818283081,8058.739994143054,2374.0623567313273,1.0000832676743512,0.0,,18,eight_schools,noncentred,,10.0
HMC,10,2.78531551361084,1251.2291197974143,449.2234770829752,1.0037326760301677,0.0,,42,eight_schools,noncentred,,10.0
NUTS,10,3.8551695346832275,7660.855128735473,1987.1642634167454,1.000760351387454,0.0,,42,eight_schools,noncentred,,10.0
HMC,10,2.7546048164367676,1404.235788472261,509.77758409960126,1.0019336566038262,0.0,,123,eight_schools,noncentred,,10.0
NUTS,10,3.5634167194366455,7067.088109591893,1983.233695639492,1.0005409949750672,1.0,,123,eight_schools,noncentred,,10.0
HMC,10,2.7600088119506836,2334.746366439918,845.9198957375052,1.0020515758744808,0.0,,18,eight_schools,noncentred,,100.0
NUTS,10,3.3719494342803955,7272.159653101696,2156.6633174182343,1.0004327913914426,0.0,,18,eight_schools,noncentred,,100.0
HMC,10,2.6414999961853027,2189.443855890834,828.8638497265564,1.0026155746674887,0.0,,42,eight_schools,noncentred,,100.0
NUTS,10,3.472226619720459,6518.882344712332,1877.4357375432921,1.000404657054421,2.0,,42,eight_schools,noncentred,,100.0
HMC,10,2.645739793777466,1998.9251753538417,755.5259893868354,1.0017766277182638,0.0,,123,eight_schools,noncentred,,100.0
NUTS,10,3.3912441730499268,6795.864594198868,2003.9443482735082,1.0007379088621924,0.0,,123,eight_schools,noncentred,,100.0
